Year,State,Food-at-home sales without taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales without taxes and tips (millions of nominal U.S. dollars),Total food sales without taxes and tips (millions of nominal U.S. dollars),Food-at-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales without taxes and tips (millions of constant U.S. dollars (1988=100))
1997,Alabama,"5,346.60","3,716.90","9,063.50","3,976.38","2,854.13","6,830.51"
1998,Alabama,"5,498.42","4,017.02","9,515.44","4,029.62","3,005.40","7,035.02"
1999,Alabama,"5,736.90","4,254.22","9,991.12","4,138.74","3,106.90","7,245.64"
2000,Alabama,"5,935.23","4,433.60","10,368.83","4,169.83","3,166.11","7,335.94"
2001,Alabama,"6,147.71","4,659.76","10,807.47","4,199.06","3,240.65","7,439.71"
2002,Alabama,"6,277.02","4,896.23","11,173.25","4,232.32","3,329.43","7,561.75"
2003,Alabama,"6,672.02","5,272.74","11,944.76","4,403.54","3,501.81","7,905.35"
2004,Alabama,"7,063.87","5,646.20","12,710.07","4,485.31","3,637.34","8,122.65"
2005,Alabama,"7,552.61","6,025.02","13,577.63","4,700.03","3,772.18","8,472.21"
2006,Alabama,"7,697.19","6,436.89","14,134.08","4,698.87","3,910.05","8,608.92"
2007,Alabama,"8,146.38","6,791.07","14,937.45","4,772.90","3,988.94","8,761.84"
2008,Alabama,"8,493.92","7,008.16","15,502.08","4,663.00","3,935.31","8,598.31"
2009,Alabama,"8,252.75","6,985.04","15,237.79","4,496.36","3,784.93","8,281.29"
2010,Alabama,"8,503.64","7,180.72","15,684.36","4,605.94","3,841.99","8,447.93"
2011,Alabama,"8,869.67","7,492.73","16,362.40","4,570.26","3,921.71","8,491.97"
2012,Alabama,"8,960.27","7,860.73","16,821.00","4,495.49","4,004.14","8,499.63"
2013,Alabama,"9,094.43","8,295.33","17,389.76","4,509.21","4,130.69","8,639.90"
2014,Alabama,"9,557.40","8,871.78","18,429.18","4,626.02","4,316.09","8,942.11"
2015,Alabama,"9,771.79","9,610.90","19,382.69","4,681.47","4,537.20","9,218.67"
2016,Alabama,"9,887.72","10,245.93","20,133.65","4,805.28","4,742.21","9,547.49"
2017,Alabama,"10,273.26","10,809.03","21,082.29","5,003.76","4,904.09","9,907.85"
2018,Alabama,"10,600.63","11,317.23","21,917.86","5,147.82","5,028.55","10,176.37"
2019,Alabama,"10,954.86","11,863.81","22,818.67","5,283.47","5,114.18","10,397.65"
2020,Alabama,"11,657.00","11,001.70","22,658.70","5,431.00","4,616.49","10,047.49"
2021,Alabama,"12,517.90","13,408.34","25,926.24","5,638.43","5,416.89","11,055.32"
2022,Alabama,"14,130.39","14,453.98","28,584.37","5,714.50","5,418.27","11,132.77"
2023,Alabama,"14,354.26","15,213.75","29,568.01","5,510.56","5,324.33","10,834.89"
2024,Alabama,"14,646.11","15,511.53","30,157.64","5,553.52","5,225.50","10,779.02"
1997,Alaska,"1,004.23",763.6,"1,767.83",718.02,595.95,"1,313.97"
1998,Alaska,"1,057.11",797.76,"1,854.87",733.3,606.42,"1,339.72"
1999,Alaska,"1,141.96",836.43,"1,978.39",776.43,622.38,"1,398.81"
2000,Alaska,"1,192.48",906.24,"2,098.72",794.53,659.58,"1,454.11"
2001,Alaska,"1,249.50",934.28,"2,183.78",799.13,659.17,"1,458.30"
2002,Alaska,"1,275.56",981.79,"2,257.35",800.84,670.57,"1,471.41"
2003,Alaska,"1,340.96","1,045.39","2,386.35",819.79,700.44,"1,520.23"
2004,Alaska,"1,461.31","1,096.58","2,557.89",861.25,712.81,"1,574.06"
2005,Alaska,"1,576.16","1,154.89","2,731.05",920.54,724.75,"1,645.29"
2006,Alaska,"1,646.73","1,217.16","2,863.89",950.32,742.06,"1,692.38"
2007,Alaska,"1,733.44","1,272.35","3,005.79",955.38,748.87,"1,704.25"
2008,Alaska,"1,805.72","1,304.43","3,110.15",937.38,739.62,"1,677.00"
2009,Alaska,"1,792.21","1,295.72","3,087.93",937.19,712.48,"1,649.67"
2010,Alaska,"1,851.77","1,334.75","3,186.52",974.19,725.43,"1,699.62"
2011,Alaska,"1,884.82","1,419.41","3,304.23",945.38,754.51,"1,699.89"
2012,Alaska,"1,896.35","1,478.31","3,374.66",934.3,762.49,"1,696.79"
2013,Alaska,"1,952.90","1,534.97","3,487.87",953.62,775.38,"1,729.00"
2014,Alaska,"2,021.61","1,615.47","3,637.08",960.37,796.37,"1,756.74"
2015,Alaska,"2,049.21","1,762.19","3,811.40",957.43,844.42,"1,801.85"
2016,Alaska,"2,046.56","1,843.10","3,889.66",967.29,855.13,"1,822.42"
2017,Alaska,"2,287.09","1,921.29","4,208.38","1,084.34",863.11,"1,947.45"
2018,Alaska,"2,306.31","1,985.64","4,291.95","1,088.69",862.63,"1,951.32"
2019,Alaska,"2,367.36","2,067.47","4,434.83","1,100.73",867.34,"1,968.07"
2020,Alaska,"2,428.24","1,792.74","4,220.98","1,085.74",719.15,"1,804.89"
2021,Alaska,"2,518.50","2,208.19","4,726.69","1,079.04",844.62,"1,923.66"
2022,Alaska,"2,770.65","2,511.70","5,282.35","1,065.55",895.48,"1,961.03"
2023,Alaska,"2,768.39","2,665.16","5,433.55","1,017.59",884.3,"1,901.89"
2024,Alaska,"2,772.38","2,754.45","5,526.83","1,005.00",873.54,"1,878.54"
1997,Arizona,"6,134.16","4,862.63","10,996.79","4,385.85","3,795.07","8,180.92"
1998,Arizona,"6,483.37","5,207.02","11,690.39","4,497.41","3,958.13","8,455.54"
1999,Arizona,"7,085.88","5,525.18","12,611.06","4,817.74","4,111.28","8,929.02"
2000,Arizona,"7,520.17","6,030.70","13,550.87","5,010.58","4,389.29","9,399.87"
2001,Arizona,"7,818.84","6,255.05","14,073.89","5,000.62","4,413.16","9,413.78"
2002,Arizona,"8,126.58","6,585.71","14,712.29","5,102.12","4,498.11","9,600.23"
2003,Arizona,"9,049.45","6,979.52","16,028.97","5,532.33","4,676.44","10,208.77"
2004,Arizona,"10,179.38","7,595.86","17,775.24","5,999.39","4,937.52","10,936.91"
2005,Arizona,"11,660.46","8,314.74","19,975.20","6,810.23","5,217.95","12,028.18"
2006,Arizona,"12,777.58","9,002.51","21,780.09","7,373.88","5,488.55","12,862.43"
2007,Arizona,"13,975.50","9,490.46","23,465.96","7,702.52","5,585.83","13,288.35"
2008,Arizona,"14,424.28","9,707.27","24,131.55","7,487.92","5,504.06","12,991.98"
2009,Arizona,"14,098.99","9,541.42","23,640.41","7,372.72","5,246.56","12,619.28"
2010,Arizona,"14,263.43","9,824.89","24,088.32","7,503.75","5,339.78","12,843.53"
2011,Arizona,"14,780.98","10,453.57","25,234.55","7,413.74","5,556.73","12,970.47"
2012,Arizona,"15,007.02","10,992.47","25,999.49","7,393.72","5,669.73","13,063.45"
2013,Arizona,"14,989.35","11,759.34","26,748.69","7,319.48","5,940.16","13,259.64"
2014,Arizona,"16,026.07","12,755.83","28,781.90","7,613.18","6,288.16","13,901.34"
2015,Arizona,"16,546.03","14,044.00","30,590.03","7,730.61","6,729.72","14,460.33"
2016,Arizona,"16,844.18","15,086.96","31,931.14","7,961.31","6,999.77","14,961.08"
2017,Arizona,"17,696.44","16,302.29","33,998.73","8,390.08","7,323.57","15,713.65"
2018,Arizona,"17,962.22","17,157.10","35,119.32","8,479.04","7,453.66","15,932.70"
2019,Arizona,"18,425.61","18,080.05","36,505.66","8,567.21","7,584.93","16,152.14"
2020,Arizona,"20,476.69","16,993.97","37,470.66","9,155.78","6,817.03","15,972.81"
2021,Arizona,"21,878.27","21,024.83","42,903.10","9,373.64","8,041.89","17,415.53"
2022,Arizona,"23,899.93","23,916.79","47,816.72","9,191.58","8,526.87","17,718.45"
2023,Arizona,"24,761.12","25,664.59","50,425.71","9,101.57","8,515.51","17,617.08"
2024,Arizona,"25,664.77","26,755.51","52,420.28","9,303.55","8,485.15","17,788.70"
1997,Arkansas,"2,736.76","2,144.52","4,881.28","2,035.39","1,646.73","3,682.12"
1998,Arkansas,"2,849.88","2,211.18","5,061.06","2,088.59","1,654.33","3,742.92"
1999,Arkansas,"3,135.27","2,290.62","5,425.89","2,261.86","1,672.87","3,934.73"
2000,Arkansas,"3,329.36","2,469.22","5,798.58","2,339.06","1,763.31","4,102.37"
2001,Arkansas,"3,555.70","2,584.07","6,139.77","2,428.64","1,797.10","4,225.74"
2002,Arkansas,"3,679.06","2,678.71","6,357.77","2,480.63","1,821.52","4,302.15"
2003,Arkansas,"3,849.06","2,809.62","6,658.68","2,540.38","1,865.97","4,406.35"
2004,Arkansas,"4,177.61","3,021.31","7,198.92","2,652.63","1,946.36","4,598.99"
2005,Arkansas,"4,457.12","3,239.51","7,696.63","2,773.69","2,028.21","4,801.90"
2006,Arkansas,"4,677.84","3,475.42","8,153.26","2,855.66","2,111.12","4,966.78"
2007,Arkansas,"4,880.02","3,625.99","8,506.01","2,859.17","2,129.84","4,989.01"
2008,Arkansas,"5,144.66","3,807.18","8,951.84","2,824.32","2,137.85","4,962.17"
2009,Arkansas,"5,102.26","3,905.05","9,007.31","2,779.88","2,116.00","4,895.88"
2010,Arkansas,"5,269.72","4,005.71","9,275.43","2,854.31","2,143.23","4,997.54"
2011,Arkansas,"5,539.37","4,184.06","9,723.43","2,854.26","2,189.94","5,044.20"
2012,Arkansas,"5,680.51","4,382.60","10,063.11","2,849.99","2,232.43","5,082.42"
2013,Arkansas,"5,770.86","4,550.89","10,321.75","2,861.31","2,266.13","5,127.44"
2014,Arkansas,"6,146.18","4,842.64","10,988.82","2,974.91","2,355.93","5,330.84"
2015,Arkansas,"6,450.45","5,320.12","11,770.57","3,090.28","2,511.57","5,601.85"
2016,Arkansas,"6,515.96","5,653.83","12,169.79","3,166.65","2,616.81","5,783.46"
2017,Arkansas,"7,004.70","5,961.43","12,966.13","3,411.75","2,704.72","6,116.47"
2018,Arkansas,"7,143.01","6,227.79","13,370.80","3,468.75","2,767.17","6,235.92"
2019,Arkansas,"7,215.64","6,526.04","13,741.68","3,480.07","2,813.20","6,293.27"
2020,Arkansas,"7,798.14","6,297.73","14,095.87","3,633.16","2,642.63","6,275.79"
2021,Arkansas,"8,392.36","7,617.34","16,009.70","3,780.17","3,077.36","6,857.53"
2022,Arkansas,"9,629.52","8,425.94","18,055.46","3,894.29","3,158.58","7,052.87"
2023,Arkansas,"9,909.79","8,831.94","18,741.73","3,804.34","3,090.90","6,895.24"
2024,Arkansas,"10,223.64","9,029.37","19,253.01","3,876.61","3,041.80","6,918.41"
1997,California,"40,318.16","34,736.57","75,054.73","28,826.99","27,110.36","55,937.35"
1998,California,"40,662.43","36,749.70","77,412.13","28,206.84","27,935.37","56,142.21"
1999,California,"42,814.20","38,809.98","81,624.18","29,109.65","28,878.48","57,988.13"
2000,California,"43,892.76","41,926.48","85,819.24","29,245.09","30,515.14","59,760.23"
2001,California,"47,020.23","44,081.55","91,101.78","30,072.28","31,101.12","61,173.40"
2002,California,"48,977.77","46,121.23","95,099.00","30,749.80","31,501.28","62,251.08"
2003,California,"52,756.48","48,840.89","101,597.37","32,252.38","32,724.49","64,976.87"
2004,California,"55,566.03","52,340.16","107,906.19","32,748.79","34,022.52","66,771.31"
2005,California,"59,108.00","55,621.75","114,729.75","34,521.68","34,905.64","69,427.32"
2006,California,"62,332.18","59,686.41","122,018.59","35,971.57","36,388.96","72,360.53"
2007,California,"66,162.09","62,864.26","129,026.35","36,464.85","37,000.23","73,465.08"
2008,California,"68,652.07","64,838.04","133,490.11","35,638.60","36,763.43","72,402.03"
2009,California,"67,757.49","63,745.41","131,502.90","35,432.10","35,051.80","70,483.90"
2010,California,"69,503.45","65,810.48","135,313.93","36,564.56","35,767.70","72,332.26"
2011,California,"74,590.12","69,755.82","144,345.94","37,412.38","37,079.63","74,492.01"
2012,California,"77,180.20","73,966.86","151,147.06","38,025.44","38,150.89","76,176.33"
2013,California,"80,311.78","79,809.15","160,120.93","39,217.24","40,315.13","79,532.37"
2014,California,"83,997.41","87,531.49","171,528.90","39,902.95","43,149.84","83,052.79"
2015,California,"85,594.68","96,209.40","181,804.08","39,991.41","46,102.44","86,093.85"
2016,California,"86,949.34","103,219.68","190,169.02","41,096.11","47,889.97","88,986.08"
2017,California,"87,178.91","110,962.21","198,141.12","41,332.50","49,848.21","91,180.71"
2018,California,"90,984.52","117,377.35","208,361.87","42,949.08","50,992.91","93,941.99"
2019,California,"93,646.19","123,088.69","216,734.88","43,541.93","51,638.07","95,180.00"
2020,California,"101,919.46","103,690.44","205,609.90","45,571.42","41,594.78","87,166.20"
2021,California,"107,576.26","129,126.35","236,702.61","46,090.54","49,390.14","95,480.68"
2022,California,"117,021.25","153,259.17","270,280.42","45,004.75","54,640.29","99,645.04"
2023,California,"120,266.50","176,423.36","296,689.86","44,206.97","58,537.25","102,744.22"
2024,California,"123,836.39","189,757.03","313,593.42","44,891.03","60,178.93","105,069.96"
1997,Colorado,"5,727.89","4,848.93","10,576.82","4,095.37","3,784.38","7,879.75"
1998,Colorado,"6,105.86","5,141.22","11,247.08","4,235.53","3,908.11","8,143.64"
1999,Colorado,"6,570.36","5,456.28","12,026.64","4,467.23","4,060.01","8,527.24"
2000,Colorado,"6,875.40","5,929.98","12,805.38","4,580.98","4,315.99","8,896.97"
2001,Colorado,"7,314.24","6,208.80","13,523.04","4,677.90","4,380.53","9,058.43"
2002,Colorado,"7,410.01","6,457.11","13,867.12","4,652.24","4,410.27","9,062.51"
2003,Colorado,"7,751.53","6,727.34","14,478.87","4,738.85","4,507.47","9,246.32"
2004,Colorado,"8,328.40","7,207.89","15,536.29","4,908.49","4,685.32","9,593.81"
2005,Colorado,"9,165.62","7,669.32","16,834.94","5,353.13","4,812.91","10,166.04"
2006,Colorado,"9,607.79","8,235.12","17,842.91","5,544.60","5,020.70","10,565.30"
2007,Colorado,"10,325.87","8,689.62","19,015.49","5,691.04","5,114.48","10,805.52"
2008,Colorado,"10,959.01","8,993.27","19,952.28","5,689.03","5,099.22","10,788.25"
2009,Colorado,"10,706.58","8,862.35","19,568.93","5,598.74","4,873.16","10,471.90"
2010,Colorado,"11,117.09","9,173.23","20,290.32","5,848.51","4,985.61","10,834.12"
2011,Colorado,"11,599.87","9,842.49","21,442.36","5,818.18","5,231.90","11,050.08"
2012,Colorado,"12,031.85","10,371.07","22,402.92","5,927.90","5,349.23","11,277.13"
2013,Colorado,"12,392.38","11,159.07","23,551.45","6,051.35","5,636.94","11,688.29"
2014,Colorado,"12,900.30","12,132.69","25,032.99","6,128.28","5,980.97","12,109.25"
2015,Colorado,"13,313.98","13,423.33","26,737.31","6,220.54","6,432.30","12,652.84"
2016,Colorado,"13,747.26","14,401.03","28,148.29","6,497.56","6,681.52","13,179.08"
2017,Colorado,"14,440.97","15,456.74","29,897.71","6,846.63","6,943.72","13,790.35"
2018,Colorado,"14,890.29","16,228.49","31,118.78","7,028.93","7,050.24","14,079.17"
2019,Colorado,"15,514.08","16,977.98","32,492.06","7,213.46","7,122.59","14,336.05"
2020,Colorado,"16,974.48","15,109.50","32,083.98","7,589.83","6,061.08","13,650.91"
2021,Colorado,"17,719.48","19,189.66","36,909.14","7,591.83","7,339.94","14,931.77"
2022,Colorado,"19,372.91","21,992.92","41,365.83","7,450.55","7,840.96","15,291.51"
2023,Colorado,"19,452.26","23,847.51","43,299.77","7,150.17","7,912.60","15,062.77"
2024,Colorado,"19,560.84","24,941.45","44,502.29","7,090.86","7,909.85","15,000.71"
1997,Connecticut,"5,472.07","3,461.06","8,933.13","4,039.56","2,741.09","6,780.65"
1998,Connecticut,"5,507.52","3,564.76","9,072.28","4,006.08","2,754.19","6,760.27"
1999,Connecticut,"5,726.39","3,748.65","9,475.04","4,078.04","2,815.38","6,893.42"
2000,Connecticut,"5,709.45","3,980.33","9,689.78","4,001.32","2,926.78","6,928.10"
2001,Connecticut,"5,885.05","4,134.78","10,019.83","3,997.27","2,952.74","6,950.01"
2002,Connecticut,"5,979.99","4,386.20","10,366.19","4,018.17","3,056.32","7,074.49"
2003,Connecticut,"5,966.29","4,605.09","10,571.38","3,920.42","3,143.00","7,063.42"
2004,Connecticut,"6,243.71","4,903.95","11,147.66","3,929.14","3,258.98","7,188.12"
2005,Connecticut,"6,364.10","5,160.20","11,524.30","3,901.74","3,334.61","7,236.35"
2006,Connecticut,"6,611.82","5,473.74","12,085.56","3,963.76","3,413.32","7,377.08"
2007,Connecticut,"6,859.97","5,786.10","12,646.07","3,958.02","3,462.03","7,420.05"
2008,Connecticut,"7,035.77","6,003.88","13,039.65","3,822.58","3,437.92","7,260.50"
2009,Connecticut,"6,884.21","5,897.15","12,781.36","3,703.67","3,265.58","6,969.25"
2010,Connecticut,"7,163.30","6,024.84","13,188.14","3,817.71","3,285.07","7,102.78"
2011,Connecticut,"7,616.51","6,363.84","13,980.35","3,891.82","3,386.79","7,278.61"
2012,Connecticut,"7,830.91","6,705.49","14,536.40","3,894.61","3,475.37","7,369.98"
2013,Connecticut,"7,885.22","7,073.37","14,958.59","3,889.16","3,605.30","7,494.46"
2014,Connecticut,"8,082.78","7,520.04","15,602.82","3,919.68","3,750.36","7,670.04"
2015,Connecticut,"7,983.34","8,002.41","15,985.75","3,818.77","3,900.23","7,719.00"
2016,Connecticut,"7,935.43","8,392.61","16,328.04","3,847.30","3,984.34","7,831.64"
2017,Connecticut,"7,902.84","8,860.08","16,762.92","3,825.58","4,109.55","7,935.13"
2018,Connecticut,"7,991.70","9,300.33","17,292.03","3,821.47","4,197.80","8,019.27"
2019,Connecticut,"8,088.28","9,597.99","17,686.27","3,836.93","4,211.40","8,048.33"
2020,Connecticut,"8,399.28","8,145.54","16,544.82","3,852.45","3,449.35","7,301.80"
2021,Connecticut,"8,963.21","10,156.06","19,119.27","4,016.79","4,105.20","8,121.99"
2022,Connecticut,"9,681.15","11,758.80","21,439.95","3,939.75","4,446.82","8,386.57"
2023,Connecticut,"9,727.03","12,785.61","22,512.64","3,777.78","4,524.42","8,302.20"
2024,Connecticut,"9,789.50","13,279.11","23,068.61","3,768.02","4,502.71","8,270.73"
1997,Delaware,"1,062.22",955.5,"2,017.72",789.99,733.71,"1,523.70"
1998,Delaware,"1,083.31",989.37,"2,072.68",793.92,740.21,"1,534.13"
1999,Delaware,"1,174.32","1,017.18","2,191.50",847.18,742.86,"1,590.04"
2000,Delaware,"1,223.72","1,083.27","2,306.99",859.73,773.58,"1,633.31"
2001,Delaware,"1,262.44","1,122.02","2,384.46",862.28,780.31,"1,642.59"
2002,Delaware,"1,263.81","1,163.22","2,427.03",852.13,790.99,"1,643.12"
2003,Delaware,"1,320.17","1,225.75","2,545.92",871.31,814.06,"1,685.37"
2004,Delaware,"1,421.86","1,328.26","2,750.12",902.83,855.68,"1,758.51"
2005,Delaware,"1,494.40","1,404.03","2,898.43",929.97,879.04,"1,809.01"
2006,Delaware,"1,594.19","1,467.60","3,061.79",973.2,891.48,"1,864.68"
2007,Delaware,"1,666.92","1,529.74","3,196.66",976.64,898.54,"1,875.18"
2008,Delaware,"1,747.08","1,581.68","3,328.76",959.11,888.16,"1,847.27"
2009,Delaware,"1,701.10","1,595.85","3,296.95",926.81,864.73,"1,791.54"
2010,Delaware,"1,733.74","1,655.33","3,389.07",939.07,885.67,"1,824.74"
2011,Delaware,"1,823.36","1,744.56","3,567.92",939.52,913.11,"1,852.63"
2012,Delaware,"1,905.81","1,816.93","3,722.74",956.17,925.51,"1,881.68"
2013,Delaware,"2,008.46","1,923.92","3,932.38",995.84,958.02,"1,953.86"
2014,Delaware,"2,075.48","2,021.86","4,097.34","1,004.58",983.63,"1,988.21"
2015,Delaware,"2,039.88","2,238.33","4,278.21",977.27,"1,056.69","2,033.96"
2016,Delaware,"2,042.49","2,368.19","4,410.68",992.62,"1,096.09","2,088.71"
2017,Delaware,"2,264.96","2,504.03","4,768.99","1,103.19","1,136.09","2,239.28"
2018,Delaware,"2,307.49","2,653.76","4,961.25","1,120.55","1,179.14","2,299.69"
2019,Delaware,"2,312.96","2,774.08","5,087.04","1,115.53","1,195.83","2,311.36"
2020,Delaware,"2,463.29","2,435.80","4,899.09","1,147.65","1,022.10","2,169.75"
2021,Delaware,"2,672.38","3,093.30","5,765.68","1,203.72","1,249.67","2,453.39"
2022,Delaware,"2,995.27","3,560.23","6,555.50","1,211.32","1,334.60","2,545.92"
2023,Delaware,"3,027.33","3,830.66","6,857.99","1,162.18","1,340.61","2,502.79"
2024,Delaware,"3,070.86","4,005.40","7,076.26","1,164.41","1,349.33","2,513.74"
1997,District of Columbia,635.82,"1,505.29","2,141.11",472.87,"1,155.88","1,628.75"
1998,District of Columbia,610.69,"1,537.41","2,148.10",447.55,"1,150.24","1,597.79"
1999,District of Columbia,601.36,"1,585.92","2,187.28",433.83,"1,158.21","1,592.04"
2000,District of Columbia,594.1,"1,815.79","2,409.89",417.39,"1,296.69","1,714.08"
2001,District of Columbia,602.71,"1,765.64","2,368.35",411.67,"1,227.92","1,639.59"
2002,District of Columbia,601.75,"1,777.86","2,379.61",405.73,"1,208.94","1,614.67"
2003,District of Columbia,647.56,"1,867.87","2,515.43",427.39,"1,240.52","1,667.91"
2004,District of Columbia,672.86,"2,006.63","2,679.49",427.24,"1,292.69","1,719.93"
2005,District of Columbia,637.73,"2,164.68","2,802.41",396.87,"1,355.28","1,752.15"
2006,District of Columbia,676.67,"2,256.85","2,933.52",413.08,"1,370.91","1,783.99"
2007,District of Columbia,715.45,"2,369.35","3,084.80",419.18,"1,391.71","1,810.89"
2008,District of Columbia,786.17,"2,467.08","3,253.25",431.59,"1,385.34","1,816.93"
2009,District of Columbia,796.82,"2,452.57","3,249.39",434.13,"1,328.95","1,763.08"
2010,District of Columbia,866.53,"2,532.52","3,399.05",469.35,"1,355.00","1,824.35"
2011,District of Columbia,928.8,"2,723.00","3,651.80",478.58,"1,425.22","1,903.80"
2012,District of Columbia,958.32,"2,913.87","3,872.19",480.8,"1,484.28","1,965.08"
2013,District of Columbia,986.35,"3,008.16","3,994.51",489.05,"1,497.93","1,986.98"
2014,District of Columbia,"1,128.45","3,211.61","4,340.06",546.2,"1,562.44","2,108.64"
2015,District of Columbia,"1,192.08","3,522.87","4,714.95",571.1,"1,663.11","2,234.21"
2016,District of Columbia,"1,231.95","3,678.13","4,910.08",598.71,"1,702.38","2,301.09"
2017,District of Columbia,"1,308.70","3,885.93","5,194.63",637.42,"1,763.06","2,400.48"
2018,District of Columbia,"1,344.41","4,095.34","5,439.75",652.87,"1,819.67","2,472.54"
2019,District of Columbia,"1,379.49","4,290.17","5,669.66",665.32,"1,849.38","2,514.70"
2020,District of Columbia,"1,411.91","2,780.20","4,192.11",657.81,"1,166.62","1,824.43"
2021,District of Columbia,"1,509.62","3,472.25","4,981.87",679.98,"1,402.77","2,082.75"
2022,District of Columbia,"1,769.46","4,765.48","6,534.94",715.59,"1,786.41","2,502.00"
2023,District of Columbia,"1,891.20","5,872.28","7,763.48",726.03,"2,055.11","2,781.14"
2024,District of Columbia,"2,014.56","6,682.61","8,697.17",763.88,"2,251.23","3,015.11"
1997,Florida,"22,065.94","17,420.22","39,486.16","16,410.92","13,376.63","29,787.55"
1998,Florida,"23,021.61","18,361.70","41,383.31","16,871.80","13,737.60","30,609.40"
1999,Florida,"24,526.04","19,257.89","43,783.93","17,693.68","14,064.24","31,757.92"
2000,Florida,"25,623.89","20,530.08","46,153.97","18,002.19","14,660.92","32,663.11"
2001,Florida,"26,619.91","21,677.03","48,296.94","18,182.14","15,075.39","33,257.53"
2002,Florida,"26,747.69","22,669.39","49,417.08","18,034.78","15,415.19","33,449.97"
2003,Florida,"27,717.62","23,937.08","51,654.70","18,293.63","15,897.45","34,191.08"
2004,Florida,"30,098.55","26,351.45","56,450.00","19,111.51","16,975.88","36,087.39"
2005,Florida,"31,570.56","28,364.59","59,935.15","19,646.55","17,758.70","37,405.25"
2006,Florida,"33,578.59","30,119.82","63,698.41","20,498.56","18,296.11","38,794.67"
2007,Florida,"35,084.09","31,709.67","66,793.76","20,555.52","18,625.62","39,181.14"
2008,Florida,"36,533.21","32,732.99","69,266.20","20,056.02","18,380.63","38,436.65"
2009,Florida,"35,408.21","32,094.99","67,503.20","19,291.52","17,391.04","36,682.56"
2010,Florida,"36,780.21","33,348.25","70,128.46","19,921.75","17,842.72","37,764.47"
2011,Florida,"39,336.91","35,918.57","75,255.48","20,269.07","18,799.82","39,068.89"
2012,Florida,"40,734.17","38,314.22","79,048.39","20,436.89","19,516.67","39,953.56"
2013,Florida,"42,115.09","41,077.29","83,192.38","20,881.54","20,454.58","41,336.12"
2014,Florida,"44,678.90","44,873.28","89,552.18","21,625.71","21,830.68","43,456.39"
2015,Florida,"46,567.87","49,578.44","96,146.31","22,309.74","23,405.45","45,715.19"
2016,Florida,"47,862.44","53,295.31","101,157.75","23,260.39","24,667.13","47,927.52"
2017,Florida,"49,938.47","56,890.06","106,828.53","24,323.35","25,811.19","50,134.54"
2018,Florida,"52,513.03","60,031.73","112,544.76","25,501.09","26,673.70","52,174.79"
2019,Florida,"53,897.43","63,055.28","116,952.71","25,994.46","27,181.49","53,175.95"
2020,Florida,"58,089.66","55,956.91","114,046.57","27,064.01","23,480.43","50,544.44"
2021,Florida,"62,383.95","71,341.95","133,725.90","28,099.56","28,821.70","56,921.26"
2022,Florida,"70,261.14","80,361.30","150,622.44","28,414.43","30,124.51","58,538.94"
2023,Florida,"73,156.58","87,188.78","160,345.36","28,084.59","30,513.31","58,597.90"
2024,Florida,"76,232.75","90,792.00","167,024.75","28,906.00","30,585.85","59,491.85"
1997,Georgia,"9,655.23","8,512.04","18,167.27","7,180.80","6,536.22","13,717.02"
1998,Georgia,"10,044.69","9,015.93","19,060.62","7,361.43","6,745.41","14,106.84"
1999,Georgia,"10,790.16","9,657.18","20,447.34","7,784.28","7,052.74","14,837.02"
2000,Georgia,"11,506.96","10,333.80","21,840.76","8,084.27","7,379.57","15,463.84"
2001,Georgia,"11,786.73","10,663.50","22,450.23","8,050.67","7,415.98","15,466.65"
2002,Georgia,"11,743.74","11,258.69","23,002.43","7,918.29","7,655.91","15,574.20"
2003,Georgia,"12,320.84","12,099.19","24,420.03","8,131.75","8,035.49","16,167.24"
2004,Georgia,"12,998.56","13,051.93","26,050.49","8,253.62","8,408.19","16,661.81"
2005,Georgia,"14,950.03","13,969.87","28,919.90","9,303.50","8,746.35","18,049.85"
2006,Georgia,"16,020.09","14,961.11","30,981.20","9,779.71","9,088.04","18,867.75"
2007,Georgia,"17,050.65","15,862.65","32,913.30","9,989.86","9,317.40","19,307.26"
2008,Georgia,"17,786.68","16,264.49","34,051.17","9,764.54","9,133.04","18,897.58"
2009,Georgia,"17,408.10","16,135.74","33,543.84","9,484.49","8,743.33","18,227.82"
2010,Georgia,"17,991.89","16,405.41","34,397.30","9,745.19","8,777.59","18,522.78"
2011,Georgia,"19,413.78","17,305.97","36,719.75","10,003.31","9,057.96","19,061.27"
2012,Georgia,"20,124.75","18,168.81","38,293.56","10,096.86","9,254.91","19,351.77"
2013,Georgia,"21,209.68","19,464.38","40,674.06","10,516.20","9,692.36","20,208.56"
2014,Georgia,"22,582.47","21,069.63","43,652.10","10,930.48","10,250.29","21,180.77"
2015,Georgia,"23,215.56","23,160.87","46,376.43","11,122.11","10,934.00","22,056.11"
2016,Georgia,"23,875.24","24,875.11","48,750.35","11,602.99","11,513.16","23,116.15"
2017,Georgia,"25,283.54","26,672.61","51,956.15","12,314.76","12,101.44","24,416.20"
2018,Georgia,"26,291.22","27,983.51","54,274.73","12,767.40","12,433.82","25,201.22"
2019,Georgia,"27,274.50","29,513.38","56,787.88","13,154.36","12,722.45","25,876.81"
2020,Georgia,"29,433.23","27,147.64","56,580.87","13,712.96","11,391.59","25,104.55"
